Translation #,Category,Wireframe Ref,KMCO Internal Category Name,KMCO Internal Field Code,Field Name,Original KMCO US English Copy,FOX Copy Edit - US English,Australia / ME English (FX),English Description,Russian,German,Turkish,Italian,Bulgarian,Serbian,Slovenian,Japanese,Chinese (Traditional),UK / Philippines (FOX),ME Arabic,Polish,Netherlands,Spanish (ES),Brazil,South East Asia - English (FOX Movies Premium)
AT856,,,,,,You have bitten __ friends. Who's next?,You have bitten __ friends. Who's next?,,You have bitten ___ friends. Who's next?,,Du hast ___ Freunde gebissen. Wer ist als nächstes dran?,__ arkadaşını ısırdın. Sıradaki kim?,Hai morso __ amici. Chi è il prossimo?,,,,,,You have bitten __ friends. Who's next?,,Pogryzłeś ___ znajomych. Kto będzie następny?,Je hebt __ vrienden gebeten. Wie volgt?,Has mordido a ___ amigos. ¿Quién es el siguiente?,Você mordeu __ amigos. Quem é o próximo?,
AT857,,,,,,Bite Again,Bite Again,,Bite Again,,Beisse nochmal zu.,Yeniden ısır,Mordi di nuovo,,,,,,Bite Again,,Ugryź jeszcze raz,Bijt nogmaals,Muerde de nuevo,Morda de novo,
AT858,,,,,,Add a caption.,Add a caption.,,Add a caption,,Bildunterschrift hinzufügen,Fotoğrafına isim koy.,Aggiungi una didascalia,,,,,,Add a caption.,,Dodaj podpis,Voeg caption toe.,Añade una captura,Adicione uma captura,
AT859,,,,,,Email,Email,,Email,,E-Mail,Eposta,E-mail,,,,,,Email,البريد الاكتروني,Email,Email,Email,Email,
AT860,,,,,,SMS,SMS,,SMS,,SMS,SMS,SMS,,,,,,SMS,SMS,SMS,SMS,SMS,SMS,
AT861,,,,,,Share to public walker gallery,Share to public walker gallery,,Share to public Walker gallery,,Teile dein Bild auf der Beisser-Galerie!,Herkese açık galeride paylaş,Condividi sulla galleria zombie pubblica,,,,,,Share to public walker gallery,,Dodaj do publicznej galerii zombie,Deel met openbare galerij.,Compartir en la galería pública de caminantes,Compartilhar na galeria pública de Walkers,
AT862,,,,,,Save Photo,Save Photo,,Save Photo,,Foto speichern,Fotoğrafı kaydet,Salva foto,,,,,,Save Photo,حفظ صورتك,Zapisz zdjęcie,Sla foto op,Guardar foto,Salvar foto,
AT863,iOS,,,,,Submit to Contest,Submit to Contest,,Submit to Contest,,Am Wettbewerb teilnehmen.,Yarışmaya gönder,Invia al concorso,,,,,,Submit to Contest,,Zgłoś do konkursu,Doe mee met wedstrijd,Enviar a Contest,Enviar para o Concurso,
AT864,,,,,,[name] shared a photo.,,,[name] shared a photo.,,[name] hat ein Foto geteilt.,[name] fotoğraf paylaştı.,"[name] ha condiviso una foto
",,,,,,,,[name] udostępnił zdjęcie,[name] deelde een foto,[name] ha compartido una foto,[name] compartilhou uma foto,
AT865,,,,,,[name] liked your photo.,,,[name] likes your photo.,,[name] gefällt dein Foto.,[name] fotoğraf paylaştı.,A [name] piace la tua foto,,,,,,,,[name] polubił Twoje zdjęcie,[name] heeft je foto geliked,A [name] le gusta tu foto,[name] curte de uma foto,
AT866,,,,,,Dead Yourself requires an internet connection on first start up to load assets. Connect to the network in order to see the hundreds of new parts available.,,,Dead Yourself requires an internet connection on first start up to load assets. Connect to the network to see the hundreds of new parts available.,,Dead Yourself benötigt eine Internetverbindung um alle Bestandteile zu laden. Verbinde dich mit dem Netzwerk um die vielen neuen Zombie-Items zu sehen!,Kendini Zombi Yap'ı ilk kullanmaya başlarken içeriklerin yüklenmesi için internet bağlantısı olmalıdır. Mevcut yüzlerce yeni bölümü görebilmek için ağa bağlan.,Per avviare Walking Dead Yourself e caricare le risorse serve una connessione Internet. Collegati per vedere le centinaia di nuove parti disponibili. ,,,,,,,,Przy pierwszym użyciu aplikacji Dead Yourself wymagane jest połączenie z internetem w celu ściągnięcia zasobów. Połącz się z siecią i sprawdź tysiące nowych dodatków.,Je hebt een werkende verbinding nodig om Dead Yourself te gebruiken. Verbind met internet om alle mogelijkheden te zien.,Dead Yourself requiere una conexión a internet para comenzar a cargar documentos. Conéctate a la red para acceder a cientos de accesorios disponibles.,Dead Yourself requer uma conexão com a internet para começar a carregar documentos. Conecte à rede para ter acesso aos acessórios disponíveis,
AT867,iOS,,nibtranslations strings,,6.text,Share back to Facebook to let,Share back to Facebook to let,,Share back to Facebook to let,,Auf Facebook teilen! Zeige,Isırıldıklarından haberdar etmek için,Condividi di nuovo su Facebook per far sapere a,,,,,,Share back to Facebook to let,,Udostepnij ponownie na Facebooku i powiadom,Deel met Facebook om,Comparte de nuevo en Facebook para hacer saber a,Compartilhe de novo no Facebook para,
AT868,iOS,,nibtranslations strings,,14.normalTitle,Done,Done,Done,Done,Готово,Fertig,Tamam,Fatto,Потвърди,Gotovo,,完了,完成,Done,تم,Zrobione,Klaar,Hecho,Feito,Done
AT869,iOS,,nibtranslations strings,,15.text,SMS,SMS,,SMS,,SMS,SMS,SMS,,,,,,SMS,SMS,SMS,SMS,SMS,SMS,
AT870,iOS,,nibtranslations strings,,16.text,Email, Email, Email,Email,Email,E-Mail,E-posta,E-mail,Изпрати по email,Email,,Eメール, Email, Email,البريد الإلكتروني,Email,Email, Email,Email, Email
AT871,iOS,,nibtranslations strings,,20.text,Or,Or,Or,Or,,Oder,Yada,Oppure,,,,,,Or,,Lub,Of,O,Ou,
AT872,iOS,,nibtranslations strings,,32.text,know that you bit them!,know that you bit them!,,know that you bit them!,,was der Zombie-Virus,Facebook'ta paylaş,che sono stati morsi,,,,,,know that you bit them!,,", że zostałeś ugryziony.",te laten weten dat ze infected zijn.,que ha sido mordido!,saberem que você foi mordido,
AT873,iOS,,nibtranslations strings,,33.normalTitle,Bite Again,Bite Again,,Bite Again,,angerichtet hat!,Yeniden ısır,Mordi di nuovo,,,,,,Bite Again,,Ugryź jeszcze raz,Bijt nogmaals,Muerde de nuevo,Morda de novo,
AT874,iOS,,nibtranslations strings,,36.text,You have bitten,You have bitten,,You have bitten,,Du hast,,Hai morso,,,,,,You have bitten,,Pogryzłeś,Je hebt,Has mordido a,Você mordeu,
AT875,iOS,,nibtranslations strings,,39.text,friends.  Who's next?,friends. Who's next?,,friends. Who's next?,,Freunde gebissen. Wer ist als nächstes dran?,arkadaşını ısırdın. Sıradaki kim?,amici. Chi è il prossimo?,,,,,,friends. Who's next?,,znajomych. Kto będzie następny?,vrienden gebeten. Wie volgt?,amigos. ¿Quién es el siguiente?,amigos. Quem é o próximo?,
AT876,iOS,,nibtranslations strings,,7.text,Loading,Loading,Loading,Loading,Загрузка,Loading,Yükleniyor,Caricamento in corso,Loading,Учитавање,Nalaganje,読み込んでいます,載入中,Loading,تحميل,Loading,Laden,Cargando,Carregando,Loading
AT877,iOS,,nibtranslations strings,,68.text,There was a problem loading the kams,,,,,,,,,,,,,,,,,,,
AT878,iOS,,nibtranslations strings,,69.normalTitle,Retry,,,,,,,,,,,,,,,,,,,
AT879,iOS,,nibtranslations strings,,9.text,Your Installed Kams,Your Installed Kams,Your Installed Kams,Your Installed Kams,,Deine installierten Kameras,Kams'i kurdun,Le tue Kam installate,,,Galerije,,,Your Installed Kams,,Aparat,Je geïnstalleerde cams,Tus Kams instaladas,Suas Kams instaladas,Your Installed Kams
AT880,iOS,,nibtranslations strings,,19.text,Pinch your photo to resize it,"Pinch your photo to resize it, and tap the checkbox when you're ready to continue",,"Pinch your photo to resize it, and tap the checkbox when you're ready to continue",,Tippe das Foto an um die Größe zu verändern. Klicke die Check-Box um fortzufahren,Fotoğrafını yeniden boyutlandırmak için tut ve devam etmeye hazır olduğunda onay kutusuna tıkla,Ridimensiona la foto con le dita. Al termine tocca la casella di spunta per continuare,,,,,,"Pinch your photo to resize it, and tap the checkbox when you're ready to continue",,Rozszerz palcami zdjęcie by uzyskać odpowiedni rozmiar. Zaznacz pole wyboru żeby kontynuować.,"Zet de foto in het juiste formaat, en ga door als je klaar bent.","Pellizqua la foto para cambiar su tamaño, y toca la casilla de verificación cuando estés listo para continuar",Belisque sua foto para mudar seu tamanho e toque a caixa de verificação quando estiver pronto para continuar,
AT881,iOS,,nibtranslations strings,,mng-zT-nId.text,No public photos were found for this user,,,,,,,,,,,,,,,,,,,
AT882,iOS,,nibtranslations strings,,23.text,My Photos,My Photos,,My Photos,,Meine Fotos,Fotoğraflarım,Le mie foto,,,,,,My Photos,صوري,Moje zdjęcia,Mijn foto's,Mis fotos,Minhas fotos,My Photos
AT883,iOS,,nibtranslations strings,,24.text,Walker Gallery,All Photos,,All Photos,,Alle Fotos,Tüm Fotoğraflar,Tutte le foto,,,,,,All Photos,جميع صور ,Wszystkie zdjęcia,Alle foto's,Todas las fotos,Todas as fotos,All Photos
AT884,iOS,,nibtranslations strings,,25.text,Friends' Photos,Friends' Photos,,Friends' Photos,,Fotos von Freunden,Arkadaşlarımın Fotoğrafları,Le foto degli amici,,,,,,Friends' Photos,صور اصدقائي,Zdjęcia znajomych,Foto's van vrienden,Fotos de mis amigos,Fotos dos meus amigos,Friends' Photos
AT885,iOS,,nibtranslations strings,,18.text,No photos have been uploaded to the gallery,,,,,,,,,,,,,,,,,,,
AT886,iOS,,nibtranslations strings,,30.text,In order to view your Friends' Gallery please authenticate using Facebook., No photos of your friends? Connect with Facebook and invite your friends to join!, No photos of your friends? Connect with Facebook and invite your friends to join!, No photos of your friends? Connect with Facebook and invite your friends to join!, Нет фото ваших друзей? Войдите в Facebook и пригласите друзей!,Keine Fotos von deinen Freunden? Verbinde dich mit Facebook und lade deine Freunde ein ebenfalls teilzunehmen!,Arkadaşlarının fotoğrafı yok mu? Facebook ile bağlan ve katılmaları için arkadaşlarını davet et!, Non ci sono foto dei tuoi amici? Connettiti con Facebook e invita i tuoi amici a giocare!,Нямате снимки на приятели? Свържете се с  Facebook и поканете приятелите си да се включат!,Nemate fotografije prijatelja? Idite na Fejsbuk i pozovite prijatelje da se pridruže!,,友達の写真がないですか？Facebookにアクセスして友達を招待しましょう！,沒有你朋友的照片嗎？邀請你的Facebook朋友來創造他們的活屍照, No photos of your friends? Connect with Facebook and invite your friends to join!,لا توجد صور لأصدقائك؟ اتصل مع الفيسبوك ووجه دعوة لأصدقائك للانضمام!,Nie ma zdjęć znajomych? Połącz się z facebookiem i zaproś znajomych!,Geen foto's van je vrienden? Verbind met Facebook en nodig je vrienden uit!,No tienes fotos de amigos? Conecta con Facebook e invita a tus amigos!,Não tem fotos de amigos? Conecte-se ao Facebook e convide seus amigos!, No photos of your friends? Connect with Facebook and invite your friends to join!
AT887,iOS,,nibtranslations strings,,49.text,There was a problem loading the photo,,,,,,,,,,,,,,,,,,,
AT888,iOS,,nibtranslations strings,,12.normalTitle,Save Photo,Save Photo,,Save Photo,,Foto speichern,Fotoğrafı kaydet,Salva foto,,,,,,Save Photo,حفظ صورتك,Zapisz zdjęcie,Sla foto op,Guardar foto,Salvar foto,
AT889,iOS,,nibtranslations strings,,2pA-EP-gqv.text,Submit to Contest,Submit to Contest,,Submit to Contest,,Am Wettbewerb teilnehmen.,Yarışmaya gönder,Invia al concorso,,,,,,Submit to Contest,,Zgłoś do konkursu,Doe mee met wedstrijd,Enviar a Contest,Enviar para o Concurso,
AT890,iOS,,nibtranslations strings,,8rJ-W4-FeX.text,SMS,SMS,,SMS,,SMS,SMS,SMS,,,,,,SMS,SMS,SMS,SMS,SMS,SMS,
AT891,iOS,,nibtranslations strings,,L6l-Ml-mIB.text,Email, Email, Email,Email,Email,E-Mail,E-posta,E-mail,Изпрати по email,Email,,Eメール, Email, Email,البريد الإلكتروني,Email,Email, Email,Email, Email
AT892,iOS,,nibtranslations strings,,Y4E-GX-Yax.text,Share to public Walker Gallery,Share to public walker gallery,,Share to public Walker gallery,,Teile dein Bild auf der Beisser-Galerie!,Herkese açık galeride paylaş,Condividi sulla galleria zombie pubblica,,,,,,Share to public walker gallery,,Dodaj do publicznej galerii zombie,Deel met openbare galerij.,Compartir en la galería pública de caminantes,Compartilhar na galeria pública de Walkers,
AT893,iOS,,nibtranslations strings,,iaQ-eo-DlZ.text,Tumblr,,,,,,,,,,,,,,,,,,,
AT894,iOS,,nibtranslations strings,,mWF-St-URv.text,Twitter, Twitter, Twitter,,Twitter,Twitter, Twitter,Twitter,Twitter,Tviter,,ツイッター, Twitter, Twitter,تويتر,Twitter,Twitter,Twitter,Twitter, Twitter
AT895,iOS,,nibtranslations strings,,obc-dK-csR.text,Facebook, Facebook, Facebook,Facebook,Facebook,Facebook,Facebook ile Giriş Yap,Facebook,Facebook,Fejsbuk,,Facebook, Facebook, Facebook,فيسبوك,Facebook,Facebook, Facebook,Facebook, Facebook
AT896,iOS,,nibtranslations strings,,tmW-Iy-God.text,Instagram,,,,,,,,,,,,,,,,,,,
AT897,iOS,,nibtranslations strings,,26.text,Align yourself to the guide and take your picture,Align your face with the guide shown above,Align your face with the guide shown above,Align your face with the guide shown above,"Разверните свое лицо, как показано выше",Passe dein Gesicht in den Rahmen ein,Yukarıda gösterildiği gibi yüzünü ortala,Allinea il tuo viso usando le istruzioni qui sopra,"Разположете лицето си по схемата, показана по-горе",Namesti svoje lice u skladu sa gornjim uputstvom. ,,上の表示に基づいて顔を調整する,依照上面的指示，調整你的臉,Align your face with the guide shown above,اضبط صورة وجهك وفقاً للدليل المبين أعلاه,Dopasuj zdjęcie zgodnie ze wzorem powyżej,Plaats je gezicht goed in het scherm.,Cuadra tu cara con los márgenes que aparecen,Enquadre seu rosto com as margens indicadas,Align your face with the guide shown above
AT898,iOS,,nibtranslations strings,,107.normalTitle,Back,Back,Back,Back,Назад,Zurück,Geri,Indietro,Назад,Nazad,,戻る,返回,Back,العودة,Powrót,Terug,Volver,Voltar,Back
AT899,iOS,,nibtranslations strings,,5nD-Ae-1BE.text,BITE A FRIEND,Bite a friend,,Bite a friend,,Freund beissen,Bir arkadaşını ısır,Mordi un amico,,,,,,Bite a friend,,Ugryź znajomego,Bite a friend,Muerde a un amigo,Morda um amigo,
AT900,iOS,,nibtranslations strings,,BaA-Kb-mnF.text,BITE A FRIEND,Bite a friend,,Bite a friend,,Freund beissen,Bir arkadaşını ısır,Mordi un amico,,,,,,Bite a friend,,Ugryź znajomego,Bite a friend,Muerde a un amigo,Morda um amigo,
AT901,iOS,,nibtranslations strings,,3.placeholder,Enter the special code to unlock this item!,Enter the secret code to unlock this item,Enter the secret code to unlock this item,Enter the secret code to unlock this item,"Введите секретный код, чтобы разблокировать","Gib den Geheimcode ein, um dieses Item freizuschalten.",Bu parçayı açabilmek için gizli kodu gir,Inserisci il codice segreto per sbloccare questo elemento,"Въведете тайния код, за да отключите този артикул",Unesi tajni kod da otključaš ovo.,,このアイテムのロックを解除する秘密のコードを入力する,輸入密碼來解開這個物品的鎖,Enter the secret code to unlock this item,أدخل الرمز السري لإتاحة هذه الأداة,"Wpisz tajemny kod, by odblokować",Vul de geheime code in om dit voorwerp vrij te spelen.,Introduce el código secreto para desbloquear este item,Introduza o código secreto para desbloquear este item,Enter the secret code to unlock this item
AT902,iOS,,nibtranslations strings,,52.normalTitle,Cancel,Cancel,Cancel,Cancel,Удалить,Abbrechen,Vazgeç,Annulla,Откажи,Otkaži,,キャンセル,取消,Cancel,إلغاء,Anuluj,Cancel,Cancelar,Cancelar,Cancel
AT903,iOS,,nibtranslations strings,,76.normalTitle,Unlock,Unlock,Unlock,Unlock,Разблокировать,Entsperren,Kilidi Aç,Sblocca,Отключи,Otključaj,,ロック解除,解鎖,Unlock,فتح,Odblokuj,Speel vrij,Desbloquear,Desbloquear,Unlock
AT904,iOS,,Translations Strings,,LoadingDefault,Loading,Loading,Loading,Loading,Загрузка,Loading,Yükleniyor,Caricamento in corso,Loading,Учитавање,Nalaganje,読み込んでいます,載入中,Loading,تحميل,Loading,Laden,Cargando,Carregando,Loading
